Subject,Date,Condition,Game,Request,Calls,Intercepted,Location,Season,Enjoy_Game,Finish,Game_Freq,Enjoy_Type,Interested,Distressed,Excited,Upset,Strong,Gulty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,Gender,Purpose,Pos_Affect,Neg_Affect,Purpose_Qual
1,11/14/2013,3,3,1,0,1,1,1,3,1,1,2,2,3,2,3,1,3,3,3,3,1,3,3,2,3,5,3,3,3,2,2,2,1,23,30,nothing
2,11/14/2013,1,1,1,5,1,1,1,5,2,2,5,4,2,5,2,3,1,1,1,5,4,1,4,1,3,2,4,4,3,3,2,2,1,39,16,NO
3,11/14/2013,4,1,2,10,1,1,1,4,2,3,2,3,1,3,1,2,1,1,1,1,2,1,2,1,1,2,3,2,1,3,1,2,1,22,11,No
4,12/3/2013,2,2,1,5,1,1,1,2,1,4,2,3,2,2,1,1,2,1,4,2,1,1,4,2,1,2,1,3,3,4,1,1,1,22,19,To see how people reacted when having to shoot innocent people in a video game.
5,12/3/2013,6,3,2,3,1,1,1,4,1,4,3,4,1,4,1,4,1,1,3,4,5,1,4,1,4,3,4,5,3,4,1,1,1,42,16,video games and emotion
6,12/3/2013,5,2,2,0,1,1,1,3,1,2,2,3,2,1,3,1,2,2,1,1,1,2,4,3,1,3,2,4,1,4,2,2,1,22,21,The effect that violent video games have
7,12/3/2013,1,1,1, ,0,1,1,4,2,3,3,4,2,3,2,3,1,1,1,3,3,1,4,1,2,1,3,3,1,2,1,2,1,30,12,Wasn't sure
8,12/5/2013,4,1,2,5,1,1,1,4,2,6,3,4,1,5,2,4,1,1,1,4,4,1,1,1,3,1,4,4,2,4,1,1,1,37,12,To see how people reacted to a game they never played before. Or how different people show differnt emotions while playing video games.
9,2/5/2014,6,3,2,20,1,1,1,5,2,7,5,5,1,5,1,5,1,1,1,5,4,1,5,1,5,1,5,5,1,5,1,1,1,49,10,to see how video games affect you
10,2/5/2014,3,3,1,10,1,1,1,2,1,5,2,3,4,3,3,2,1,1,3,2,2,2,4,1,1,2,4,5,4,3,2,2,1,29,23,.
11,2/7/2014,2,2,1, ,0,1,1,4,2,4,3,3,2,4,1,3,2,1,1,4,2,2,3,1,1,2,3,2,5,3,1,1,1,28,18,no
12,2/12/2014,5,2,2, ,0,1,1,4,2,5,5,4,1,3,2,2,1,1,1,3,1,1,3,1,1,2,3,3,2,2,1,1,1,25,13,I didn't really know purpose of study.
13,2/12/2014,5,2,2,0,1,1,1,4,1,1,4,4,4,4,2,3,2,3,1,4,4,1,3,1,2,4,3,3,4,3,3,2,1,33,25,NO
14,2/14/2014,6,3,2,0,1,1,1,4,1,2,2,5,1,4,1,3,1,1,1,3,1,1,5,1,2,3,3,5,2,3,1,2,2,34,13,to determine the effect the game had on me and how i reacted/felt afterward.
15,2/14/2014,1,1,1,0,1,1,1,3,2,4,2,4,4,3,4,2,1,1,1,3,2,3,2,1,1,2,3,4,3,3,2,1,2,27,22,to uderstand the emotions of the patient when playing a video game
16,2/14/2014,4,1,2,0,1,1,1,2,2,5,2,3,2,2,2,1,1,1,1,1,1,1,4,3,1,1,3,5,3,4,1,1,2,25,16,To test ones ability to use real world experiences while driving in a virtual setting.
17,2/14/2014,2,2,1,0,1,1,1,4,2,6,4,4,1,2,2,1,3,1,1,1,1,1,5,1,1,1,4,4,1,2,1,1,2,25,13,to see if the violence of the no russian mission would cause me to become stressed or express a violent mood
18,2/19/2014,3,3,1,10,1,1,1,4,1,3,2,4,2,4,1,1,1,1,1,4,1,1,5,4,1,5,4,4,4,2,1,2,2,30,21,To see if playing video games affected the way we are hired.
19,2/19/2014,2,2,1,10,1,1,1,4,2,2,3,3,2,4,2,3,5,2,1,3,2,1,4,2,1,3,2,2,1,4,4,2,2,28,23,To see what peoples reactions and emoutions are during video games.
20,2/21/2014,4,1,2,10,1,1,1,4,2,1,4,4,4,4,2,4,1,1,1,4,2,4,4,1,1,4,4,4,2,4,1,2,1,35,21,to see if video games causes frustration or any sign of emotion
21,2/21/2014,1,1,1,0,1,1,1,3,1,4,4,3,2,3,4,3,2,1,3,2,1,4,4,2,3,3,4,4,4,4,1,1,2,31,26,For a psychology study.
22,2/21/2014,6,3,2, ,0,1,1,4,1,3,3,3,1,3,1,3,1,1,1,3,1,1,4,1,2,1,1,3,1,3,1,2,1,26,10,no
23,2/21/2014,3,3,1, ,0,1,1,3,2,2,2,3,1,3,3,2,1,1,4,4,1,1,4,1,3,1,3,3,1,4,1,2,1,30,15,To test my response to a video game.
24,2/28/2014,5,2,2,10,1,1,1,4,2,6,4,4,2,3,1,3,2,1,3,4,4,1,4,2,2,1,4,4,2,4,1,1,2,36,16,To determine effects of video games on behaviors and moods.
25,2/28/2014,4,1,2,0,1,1,1,4,2,6,3,3,2,4,1,2,1,1,1,3,2,1,4,1,2,1,3,3,1,4,1,1,2,30,11,To see how video games affect your emotions.
26,2/28/2014,1,1,1,1,1,1,1,4,2,2,5,4,2,3,1,3,1,2,1,4,4,2,4,2,5,2,4,5,1,4,1,1,1,40,15,To personally respond to the video games and how oue emoitions had to react to the video game. And to have a opprotunity to be inmursed into the game so that whatever you were doing it would seem so life like.
27,3/19/2014,6,3,2,10,1,1,1,3,1,1,2,2,3,3,1,4,1,3,4,4,4,4,5,3,2,5,4,4,4,3,4,2,1,35,32,No.
28,3/19/2014,2,2,1,0,1,1,1,3,2,7,4,4,2,3,2,1,3,1,1,2,1,2,2,2,1,1,1,2,1,2,1,1,1,19,16,To judge a person's emotional reaction to an event.
29,3/21/2014,5,2,2,7,1,1,1,4,1,3,4,4,1,4,1,3,3,1,4,3,2,1,5,2,2,1,4,4,4,4,1,2,2,35,19,"I thought the purpose of the study was to see how our emotions react to such violent video games. Especially since we were on the ""bad"" side and killing innocent people, it wanted to see how we would react to that."
30,3/28/2014,3,3,1,3,1,1,1,4,1,6,3,4,2,4,2,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,21,12,The relationship between violent video games and emotion
31,3/28/2014,3,3,1,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,10,14,To see how I responded to the game
32,3/28/2014,2,2,1,0,1,1,1,4,1,4,5,3,2,1,2,3,2,1,1,1,1,1,1,3,1,2,5,5,1,1,1,1,1,22,16,I responded no
33,3/28/2014,4,1,2,0,1,1,1,4,2,4,1,3,1,3,1,3,1,1,1,4,4,1,4,1,3,1,2,3,1,2,1,1,1,31,10,It was to measure the level of enjoyment someone would experience playing a game.
34,4/2/2014,3,3,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,11,11,i said no
35,4/2/2014,4,1,2,0,1,1,1,3,2,2,3,4,3,3,2,2,1,2,1,3,2,1,4,2,1,3,1,4,4,4,1,2,1,28,20,I did not know the purpose but I would guess about reaction time
36,4/2/2014,6,3,2,0,1,1,1,4,2,6,3,3,3,3,1,3,1,1,1,2,3,1,4,1,3,1,3,4,3,4,1,1,2,32,14,The purpose of the study was to see the body's reaction to violent or disturbing images shown in video games.
37,4/4/2014,2,2,1,0,1,1,1,4,1,1,2,5,4,4,1,2,4,1,2,1,1,1,5,1,1,1,3,5,1,5,1,2,1,32,17,What video games are portraying
38,4/4/2014,5,2,2,0,1,1,1,3,2,5,4,3,4,2,1,2,3,1,1,2,1,3,4,3,1,1,1,3,2,2,1,1,1,21,20,I responded no.
39,4/4/2014,1,1,1,0,1,1,1,4,1,2,4,3,1,4,1,3,1,1,1,3,4,1,2,1,1,2,4,2,5,4,1,2,2,30,15,To test emotions while being aroused playing a video game.
40,4/4/2014,6,3,2,5,1,1,1,2,1,1,1,3,3,2,1,3,1,1,1,1,1,1,5,3,1,1,4,4,3,4,2,2,1,28,17,To see how violence and the state of anxiety correlate.
41,4/4/2014,3,3,1,0,1,1,1,4,2,1,5,4,1,4,1,3,1,1,1,3,3,1,3,1,2,1,3,3,4,4,1,1,1,32,13,How video games effect a persons feelings.
42,4/9/2014,2,2,1,4,1,1,1,4,2,5,3,4,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,4,1,3,1,1,1,22,10,N/A
43,4/9/2014,5,2,2,0,1,1,1,3,1,2,2,3,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,2,2,17,10,It was to see if playing a video game would affect our emotions in some way.
44,4/9/2014,1,1,1,0,1,1,1,5,2,1,3,3,2,4,3,4,1,1,1,4,3,2,4,1,1,3,4,5,3,4,2,2,1,36,19,I responded No.
45,4/9/2014,3,3,1,5,1,1,1,4,2,5,3,2,1,2,1,3,1,1,2,3,4,1,5,1,1,1,3,4,3,4,1,1,2,31,13,Im pretty sure the study was designed to see whether or not playing violent video games could provoke certain responses such as excitement or hostility and the intent was to see if there was a correlation between video games and aroused emotional states.
46,4/11/2014,2,2,1,0,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,16,13,To   test  how   people  feel while playing  games
47,4/11/2014,5,2,2,0,1,1,1,3,2,3,3,3,2,4,3,3,2,3,2,4,2,1,5,2,1,1,3,5,4,5,1,1,2,35,21,hhy8hh*uuu*uuhu+*u++hhhhhhhhhhhhhhh*uuu*uuhu+*u++hhhhhhhhh
48,4/11/2014,6,3,2,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,10,14,TO ASSESS HOW ENGAGING IN VIDEO GAMES WOULD ELICIT EMOTIONS.
49,4/11/2014,3,3,1, ,0,1,1,4,1,2,3,3,1,4,1,1,1,1,1,3,1,1,2,1,1,1,2,3,2,3,1,2,1,23,11,The response to stress on video games/ priming one with the 'violent video game' then taking  the survey to gauge violent tendencies or emotional levels of stress
50,4/16/2014,4,1,2,0,1,1,1,4,2,4,3,3,1,5,1,4,2,1,2,4,4,2,5,1,4,1,4,4,2,5,1,1,1,42,14,To see how playing video games makes people feel
51,4/16/2014,1,1,1, ,0,1,1,4,2,2,3,4,2,4,1,3,1,1,2,4,3,3,3,1,2,2,4,4,4,5,1,1,1,36,18,N/A
52,4/16/2014,2,2,1,0,1,1,1,2,2,2,2,1,2,2,1,1,4,3,1,1,1,1,1,3,1,2,1,3,2,2,2,2,1,14,21,to see how you feel after playing a certain type of game
53,4/21/2014,4,1,2,5,1,1,1,4,2,5,4,4,1,4,1,4,1,1,1,5,4,1,4,1,5,1,4,4,1,4,1,1,1,42,10,na
54,4/22/2014,5,2,2,5,1,1,1,3,2,4,4,4,2,3,1,1,1,1,1,3,1,1,4,1,1,1,2,3,2,3,1,1,1,25,12,"To determine whether or not video games elicit a negative, hostile, bellicose response from specific demographics, whether thats correlated with gender, class, etc."
