"Subject"	"Date"	"Condition"	"Game"	"Request"	"Calls"	"callsyesno"	"intercepted"	"Location_filter"	"Season"	"Enjoy_Game"	"Finish"	"Game_Freq"	"Enjoy_Type"	"Interested"	"Distressed"	"Excited"	"Upset"	"Strong"	"Gulty"	"Scared"	"Hostile"	"Enthusiastic"	"Proud"	"Irritable"	"Alert"	"Ashamed"	"Inspired"	"Nervous"	"Determined"	"Attentive"	"Jittery"	"Active"	"Afraid"	"Gender"	"Purpose"	"Pos_Affect"	"Neg_Affect"	"Purpose_Qual"	"like"
1	2013-12-03 00:00:00	3	3	1	0	0	1	1	1	3	1	1	2	2	3	2	3	1	3	3	3	3	1	3	3	2	3	5	3	3	3	2	2	2	1	23	30	"nothing"	5
2	2013-12-03 00:00:00	1	1	1	5	1	1	1	1	5	2	2	5	4	2	5	2	3	1	1	1	5	4	1	4	1	3	2	4	4	3	3	2	2	1	39	16	"NO"	10
3	2013-12-03 00:00:00	4	1	2	10	1	1	1	1	4	2	3	2	3	1	3	1	2	1	1	1	1	2	1	2	1	1	2	3	2	1	3	1	2	1	22	11	"No"	6
4	2013-12-03 00:00:00	2	2	1	5	1	1	1	1	2	1	4	2	3	2	2	1	1	2	1	4	2	1	1	4	2	1	2	1	3	3	4	1	1	1	22	19	"To see how people reacted when having to shoot innocent people in a video game."	4
5	2013-12-05 00:00:00	6	3	2	3	1	1	1	1	4	1	4	3	4	1	4	1	4	1	1	3	4	5	1	4	1	4	3	4	5	3	4	1	1	1	42	16	"video games and emotion"	7
6	2014-02-05 00:00:00	5	2	2	0	0	1	1	1	3	1	2	2	3	2	1	3	1	2	2	1	1	1	2	4	3	1	3	2	4	1	4	2	2	1	22	21	"The effect that violent video games have"	5
7	2014-02-05 00:00:00	1	1	1	NA	NA	0	1	1	4	2	3	3	4	2	3	2	3	1	1	1	3	3	1	4	1	2	1	3	3	1	2	1	2	1	30	12	"Wasn't sure"	7
8	2014-02-07 00:00:00	4	1	2	5	1	1	1	1	4	2	6	3	4	1	5	2	4	1	1	1	4	4	1	1	1	3	1	4	4	2	4	1	1	1	37	12	"To see how people reacted to a game they never played before. Or how different people show differnt emotions while playing video games."	7
9	2014-02-12 00:00:00	6	3	2	20	1	1	1	1	5	2	7	5	5	1	5	1	5	1	1	1	5	4	1	5	1	5	1	5	5	1	5	1	1	1	49	10	"to see how video games affect you"	10
10	2014-02-12 00:00:00	3	3	1	10	1	1	1	1	2	1	5	2	3	4	3	3	2	1	1	3	2	2	2	4	1	1	2	4	5	4	3	2	2	1	29	23	"."	4
11	2014-02-14 00:00:00	2	2	1	NA	NA	0	1	1	4	2	4	3	3	2	4	1	3	2	1	1	4	2	2	3	1	1	2	3	2	5	3	1	1	1	28	18	"no"	7
12	2014-02-14 00:00:00	5	2	2	NA	NA	0	1	1	4	2	5	5	4	1	3	2	2	1	1	1	3	1	1	3	1	1	2	3	3	2	2	1	1	1	25	13	"I didn't really know purpose of study."	9
13	2014-02-14 00:00:00	5	2	2	0	0	1	1	1	4	1	1	4	4	4	4	2	3	2	3	1	4	4	1	3	1	2	4	3	3	4	3	3	2	1	33	25	"NO"	8
14	2014-02-14 00:00:00	6	3	2	0	0	1	1	1	4	1	2	2	5	1	4	1	3	1	1	1	3	1	1	5	1	2	3	3	5	2	3	1	2	2	34	13	"to determine the effect the game had on me and how i reacted/felt afterward."	6
15	2014-02-19 00:00:00	1	1	1	0	0	1	1	1	3	2	4	2	4	4	3	4	2	1	1	1	3	2	3	2	1	1	2	3	4	3	3	2	1	2	27	22	"to uderstand the emotions of the patient when playing a video game"	5
16	2014-02-19 00:00:00	4	1	2	0	0	1	1	1	2	2	5	2	3	2	2	2	1	1	1	1	1	1	1	4	3	1	1	3	5	3	4	1	1	2	25	16	"To test ones ability to use real world experiences while driving in a virtual setting."	4
17	2014-02-21 00:00:00	2	2	1	0	0	1	1	1	4	2	6	4	4	1	2	2	1	3	1	1	1	1	1	5	1	1	1	4	4	1	2	1	1	2	25	13	"to see if the violence of the no russian mission would cause me to become stressed or express a violent mood"	8
18	2014-02-21 00:00:00	3	3	1	10	1	1	1	1	4	1	3	2	4	2	4	1	1	1	1	1	4	1	1	5	4	1	5	4	4	4	2	1	2	2	30	21	"To see if playing video games affected the way we are hired."	6
19	2014-02-21 00:00:00	2	2	1	10	1	1	1	1	4	2	2	3	3	2	4	2	3	5	2	1	3	2	1	4	2	1	3	2	2	1	4	4	2	2	28	23	"To see what peoples reactions and emoutions are during video games."	7
20	2014-02-21 00:00:00	4	1	2	10	1	1	1	1	4	2	1	4	4	4	4	2	4	1	1	1	4	2	4	4	1	1	4	4	4	2	4	1	2	1	35	21	"to see if video games causes frustration or any sign of emotion"	8
21	2014-02-28 00:00:00	1	1	1	0	0	1	1	1	3	1	4	4	3	2	3	4	3	2	1	3	2	1	4	4	2	3	3	4	4	4	4	1	1	2	31	26	"For a psychology study."	7
22	2014-02-28 00:00:00	6	3	2	NA	NA	0	1	1	4	1	3	3	3	1	3	1	3	1	1	1	3	1	1	4	1	2	1	1	3	1	3	1	2	1	26	10	"no"	7
23	2014-02-28 00:00:00	3	3	1	NA	NA	0	1	1	3	2	2	2	3	1	3	3	2	1	1	4	4	1	1	4	1	3	1	3	3	1	4	1	2	1	30	15	"To test my response to a video game."	5
24	2014-03-19 00:00:00	5	2	2	10	1	1	1	1	4	2	6	4	4	2	3	1	3	2	1	3	4	4	1	4	2	2	1	4	4	2	4	1	1	2	36	16	"To determine effects of video games on behaviors and moods."	8
25	2014-03-19 00:00:00	4	1	2	0	0	1	1	1	4	2	6	3	3	2	4	1	2	1	1	1	3	2	1	4	1	2	1	3	3	1	4	1	1	2	30	11	"To see how video games affect your emotions."	7
26	2014-03-21 00:00:00	1	1	1	1	1	1	1	1	4	2	2	5	4	2	3	1	3	1	2	1	4	4	2	4	2	5	2	4	5	1	4	1	1	1	40	15	"To personally respond to the video games and how oue emoitions had to react to the video game. And to have a opprotunity to be inmursed into the game so that whatever you were doing it would seem so life like."	9
27	2014-03-28 00:00:00	6	3	2	10	1	1	1	1	3	1	1	2	2	3	3	1	4	1	3	4	4	4	4	5	3	2	5	4	4	4	3	4	2	1	35	32	"No."	5
28	2014-03-28 00:00:00	2	2	1	0	0	1	1	1	3	2	7	4	4	2	3	2	1	3	1	1	2	1	2	2	2	1	1	1	2	1	2	1	1	1	19	16	"To judge a person's emotional reaction to an event."	7
29	2014-03-28 00:00:00	5	2	2	7	1	1	1	1	4	1	3	4	4	1	4	1	3	3	1	4	3	2	1	5	2	2	1	4	4	4	4	1	2	2	35	19	"I thought the purpose of the study was to see how our emotions react to such violent video games. Especially since we were on the \"bad\" side and killing innocent people, it wanted to see how we would react to that."	8
30	2014-03-28 00:00:00	3	3	1	3	1	1	1	1	4	1	6	3	4	2	4	2	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	21	12	"The relationship between violent video games and emotion"	7
31	2014-04-02 00:00:00	3	3	1	0	0	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	10	14	"To see how I responded to the game"	2
32	2014-04-02 00:00:00	2	2	1	0	0	1	1	1	4	1	4	5	3	2	1	2	3	2	1	1	1	1	1	1	3	1	2	5	5	1	1	1	1	1	22	16	"I responded no"	9
